Temps	Canal A	Canal B
(s)	(V)	(V)

0.08847360	5.09231900	0.01312296
0.08880128	5.09231900	-0.07446516
0.08912896	5.09231900	0.01312296
0.08945664	5.09231900	0.01312296
0.08978432	5.09231900	-0.07446516
0.09011200	5.09231900	0.01312296
0.09043968	5.09231900	0.01312296
0.09076736	5.00442500	0.10040590
0.09109504	5.09231900	-0.07446516
0.09142272	5.09231900	0.01312296
0.09175040	5.00442500	0.01312296
0.09207808	5.00442500	0.01312296
0.09240576	5.09231900	0.01312296
0.09273344	5.00442500	0.01312296
0.09306112	5.00442500	0.01312296
0.09338880	5.00442500	0.01312296
0.09371648	5.00442500	0.01312296
0.09404416	5.00442500	0.01312296
0.09437184	5.09231900	0.01312296
0.09469952	5.09231900	0.01312296
0.09502720	5.09231900	-0.07446516
0.09535488	5.00442500	-0.07446516
0.09568256	5.00442500	-0.07446516
0.09601024	5.00442500	-0.07446516
0.09633792	5.09231900	0.01312296
0.09666560	5.09231900	0.01312296
0.09699328	5.09231900	0.01312296
0.09732096	5.00442500	0.01312296
0.09764864	5.09231900	0.01312296
0.09797632	5.00442500	0.01312296
0.09830400	5.09231900	0.10040590
0.09863168	5.09231900	0.01312296
0.09895936	5.00442500	0.01312296
0.09928704	5.09231900	0.01312296
0.09961472	5.09231900	0.01312296
0.09994240	5.09231900	0.10040590
0.10027008	5.09231900	0.01312296
0.10059776	5.09231900	-0.07446516
0.10092544	5.00442500	0.01312296
0.10125312	5.09231900	0.01312296
0.10158080	5.09231900	-0.07446516
0.10190848	5.00442500	0.01312296
0.10223616	5.09231900	0.01312296
0.10256384	5.09231900	-0.07446516
0.10289152	5.00442500	-0.07446516
0.10321920	5.09231900	-0.07446516
0.10354688	5.09231900	0.01312296
0.10387456	5.00442500	-0.07446516
0.10420224	5.00442500	-0.07446516
0.10452992	5.09231900	0.01312296
0.10485760	5.09231900	-0.07446516
0.10518528	5.09231900	-0.07446516
0.10551296	5.09231900	0.10040590
0.10584064	5.09231900	-0.07446516
0.10616832	5.09231900	-0.07446516
0.10649600	5.00442500	0.01312296
0.10682368	5.09231900	0.01312296
0.10715136	5.09231900	0.01312296
0.10747904	5.09231900	0.01312296
0.10780672	5.09231900	-0.07446516
0.10813440	5.09231900	0.01312296
0.10846208	5.00442500	0.01312296
0.10878976	5.00442500	0.01312296
0.10911744	0.00091556	0.10040590
0.10944512	0.00091556	0.01312296
0.10977280	0.00091556	0.01312296
0.11010048	0.00091556	0.01312296
0.11042816	0.00091556	0.01312296
0.11075584	0.00091556	0.01312296
0.11108352	0.00091556	0.18799400
0.11141120	0.00091556	-0.07446516
0.11173888	0.00091556	0.01312296
0.11206656	0.00091556	0.01312296
0.11239424	0.00091556	0.01312296
0.11272192	0.00091556	0.01312296
0.11304960	0.00091556	0.01312296
0.11337728	0.00091556	0.01312296
0.11370496	0.00091556	0.01312296
0.11403264	0.00091556	0.01312296
0.11436032	0.00091556	-0.07446516
0.11468800	0.00091556	0.01312296
0.11501568	0.00091556	0.01312296
0.11534336	0.00091556	-0.07446516
0.11567104	0.08850367	0.18799400
0.11599872	0.00091556	0.01312296
0.11632640	0.00091556	0.01312296
0.11665408	0.00091556	0.01312296
0.11698176	0.00091556	0.01312296
0.11730944	0.00091556	0.01312296
0.11763712	0.00091556	0.01312296
